ID_ALUNO,NU_ANO_CENSO,NO_CURSO,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,TP_SEXO,NU_IDADE
1055890FB3F06F893675FE81FF4571A3,2019,ADMINISTRAÇÃO,40746131,"",1,24
7409AC351AA35F37DB0A0B10172DB050,2019,ADMINISTRAÇÃO,41040551,"",2,52
F77962AC598AB341C9171D3DA3A87A78,2019,ADMINISTRAÇÃO,41014911,"",2,25
A3640198072FF32C5FA4DCB69C38DF89,2019,ADMINISTRAÇÃO,41005560,"",2,25
CBB72303A2C938E795FB925B2D8CF5D5,2019,ADMINISTRAÇÃO,40746086,"",1,24
45B14DDB435B62E304F0D58462689149,2019,ADMINISTRAÇÃO,41017449,"",1,24
7EDC819A29B37105EAD352DC54D8BD64,2019,ADMINISTRAÇÃO,41012446,"",2,27
C8B01CA1684D7F3742794715BC5BE697,2019,ADMINISTRAÇÃO,41020604,"",1,28
0625A409C4937E11CA00E619AE48A314,2019,ADMINISTRAÇÃO,41016364,"",1,24
2D1638E9C3DEBD6347F0CA9A470D9D21,2019,ADMINISTRAÇÃO,40745021,"",2,27
BED212C0C46A2235D81D7DE879D51E9A,2019,ADMINISTRAÇÃO,40745989,"",1,25
3A27BC53D3FB99FE278CD1B9EB4F9C88,2019,ADMINISTRAÇÃO,41013075,"",1,26
9AB1BE5DB9468810C4CB6D847F1E851F,2019,ADMINISTRAÇÃO,40996120,"",2,35
B1ADE87F609F0A7EF38E726F339C2E7D,2019,ADMINISTRAÇÃO,40745762,"",2,26
321A7E5BD8DC55F8D7594B20F3713806,2019,ADMINISTRAÇÃO,41041677,"",2,24
5B1D4C17B28F2CA443CD691EDB8D829B,2019,ADMINISTRAÇÃO,40745513,"",2,25
BE4A578839270C2680729302ED7E6E05,2019,ADMINISTRAÇÃO,41025230,"",1,25
6CC4DB28BC3F945FEA1D56736DB1B8FC,2019,ADMINISTRAÇÃO,41017842,"",2,24
21368CD920BD21668D7AFFF9411C79F2,2019,ADMINISTRAÇÃO,40744184,"",2,24
1E68A0B86A9E4747CC316B1DDA98AB41,2019,ADMINISTRAÇÃO,41002242,"",1,25
